start_station,end_station,count
Sukkerbiten,Sjoesiden ved trappen,2331
Tjuvholmen,Frognerstranda,2299
Frognerstranda,Tjuvholmen,2211
Sjoesiden ved trappen,Vippetangen vest,1923
Saga Kino,Tjuvholmen,1763
Vippetangen vest,Sjoesiden ved trappen,1738
Sjoesiden ved trappen,Sukkerbiten,1701
Saga Kino,Aker Brygge,1666
Jernbanetorget,Vippetangen vest,1531
Kvaernerbyen,Sjoesiden ved trappen,1479
Tjuvholmen,Saga Kino,1301
Kvaernerbyen,Bjoervika,1289
Olaf Ryes plass,Torggata,1285
Olaf Ryes plass,Kirkeristen,1280
Toeyen skole,Jens Bjelkes Gate,1218
Aker Brygge,Saga Kino,1177
Aker Brygge,Aker Brygge,1044
Sukkerbiten,Sukkerbiten,1042
Frognerstranda,Filipstadveien,1027
Oslo Hospital,Sjoesiden ved trappen,1019
Oslo Hospital,Bjoervika,1001
Torggata,Olaf Ryes plass,997
Botanisk Hage soer,Jens Bjelkes Gate,996
Sukkerbiten,Paléhaven,991
Ringnes Park,Alexander Kiellands Plass,987
Sjoesiden ved trappen,Sjoesiden ved trappen,975
Jens Bjelkes Gate,Botanisk Hage soer,965
Lakkegata,Vaterlandsparken,931
Norsk Folkemuseum,Norsk Folkemuseum,926
Paléhaven,Sukkerbiten,924
Saga Kino,Vippetangen vest,916
Tjuvholmen,Tjuvholmen,895
Schous plass,Torggata,892
Alexander Kiellands Plass,Torggata,881
Kirkeristen,Olaf Ryes plass,872
Sjoesiden ved trappen,Vippetangen oest,865
Saga Kino,Dokkveien,856
Rostockgata,Sjoesiden ved trappen,840
Frogner plass,Frogner plass,833
St. Olavs gate,Aker Brygge,827
Helga Helgesens plass,Sentrum Scene,824
Olaf Ryes plass,Aker Brygge,824
Dyvekes bru,Sjoesiden ved trappen,818
Sommerfrydhagen,Jens Bjelkes Gate,809
Hammersborg Torg,Aker Brygge,808
Bjoervika,Kvaernerbyen,806
Jess Carlsens gate,The Hub,806
Schous plass,Kirkeristen,803
Jens Bjelkes Gate,Vaterlandsparken,798
Olaf Ryes plass,The Hub,789
Sofienbergparken nord,Toeyen skole,787
Alexander Kiellands Plass,Linaaes gate,785
Olaf Ryes plass,Olaf Ryes plass,782
Toeyen skole,Botanisk Hage soer,781
Toeyen skole,Sommerfrydhagen,779
Rostockgata,Rostockgata,777
AHO,Linaaes gate,773
Jakob kirke,Olaf Ryes plass,772
Jess Carlsens gate,Helga Helgesens plass,770
Linaaes gate,AHO,765
Alexander Kiellands Plass,Ringnes Park,758
Jens Bjelkes Gate,Kirkeristen,757
Helga Helgesens plass,The Hub,747
Jernbanetorget,Sukkerbiten,746
Helga Helgesens plass,Helga Helgesens plass,746
Ringnes Park,Olaf Ryes plass,742
Oslo Plaza,Lakkegata,741
Fred Olsens gate,Vippetangen vest,731
Groenlands torg,Munkegata,726
Karenslyst allé,Karenslyst allé,724
Sjoesiden ved trappen,Bankplassen,718
Majorstuen,Bogstadveien,717
Vippetangen oest,Sjoesiden ved trappen,717
Sjoesiden ved trappen,Aker Brygge,717
AHO,Hammersborg Torg,716
Sommerfrydhagen,Toeyen skole,713
Jernbanetorget,Olaf Ryes plass,707
Rostockgata,Kvaernerbyen,705
Helga Helgesens plass,Munkegata,705
Sukkerbiten,Sjoesiden ved fontenen,700
Jens Bjelkes Gate,Toeyen skole,699
AHO,Torggata,692
Hydroparken,Skillebekk,692
Dokkveien,Sjoesiden ved trappen,679
Marcus Thranes gate,Ringnes Park,679
Tjuvholmen,Sjoesiden ved trappen,673
Ringnes Park,Torggata,665
Ensjoe T-bane,Sotahjoernet,665
Botanisk Hage soer,Schous plass,663
Lille Grensen,Aker Brygge,663
Jens Bjelkes Gate,The Hub,660
The Hub,Olaf Ryes plass,654
Toeyen skole,Sofienbergparken nord,653
Carl Berners plass soer,Toeyen skole,650
Helga Helgesens plass,Vaterlandsparken,650
Akerselvallmenningen,Aker Brygge,647
Jakob kirke,Kirkeristen,647
Bankplassen,Aker Brygge,647
Aker Brygge,Sjoesiden ved trappen,645
Vippetangen vest,Jernbanetorget,642
Helga Helgesens plass,Kirkeristen,641
Kirkeristen,Helga Helgesens plass,638
Olaf Ryes plass,Jernbanetorget,636
Sjoesiden ved trappen,Kvaernerbyen,634
Oslo Handelsgymnasium,Skillebekk,631
Norsk Folkemuseum,Maritimt Museum,629
Lakkegata,Oslo Plaza,629
Torggata,Torggata,625
Dokkveien,Saga Kino,625
Kvaernerbyen,Sjoesiden ved fontenen,622
Alexander Kiellands Plass,The Hub,617
Hammersborg Torg,AHO,616
Frognerstranda,Frognerstranda,612
Linaaes gate,Alexander Kiellands Plass,612
Helga Helgesens plass,Jess Carlsens gate,609
Bankplassen,Sjoesiden ved trappen,605
Kirkeristen,Jens Bjelkes Gate,603
Alexander Kiellands Plass,Fredensborg,601
Alexander Kiellands Plass,Hammersborg Torg,598
Dyvekes bru,Bjoervika,598
Sjoesiden ved trappen,Oslo Hospital,596
Tjuvholmen,Karenslyst allé,595
Kirkeristen,Aker Brygge,591
Filipstadveien,Frognerstranda,591
Oslo Hospital,Helga Helgesens plass,591
Toeyen skole,Botanisk hage soer-vest,590
Alexander Kiellands Plass,Olaf Ryes plass,590
Linaaes gate,Olaf Ryes plass,585
Sukkerbiten,Aker Brygge,581
Sofienbergparken nordvest,Toeyen skole,581
Aker Brygge,Sukkerbiten,580
Kvaernerbyen,Trelastgata,575
Munkegata,Helga Helgesens plass,575
Jakob kirke,Jakob kirke,571
Huk 2,Huk 2,570
Schous plass trikkestopp,Botanisk Hage soer,570
Oslo Handelsgymnasium,Tjuvholmen,569
Skillebekk,Tjuvholmen,567
Sjoesiden ved fontenen,Sjoesiden ved fontenen,566
Olaf Ryes plass,Sentrum Scene,564
Sofienbergparken nordvest,Helga Helgesens plass,560
Sukkerbiten,Bjoervika,558
Kontraskjaeret,Aker Brygge,553
Fagerheimgata,Torggata,551
OsloMet,7. juni-plassen,550
Kirkeristen,Kirkeristen,549
Alexander Kiellands Plass,Alexander Kiellands Plass,549
Sofienbergparken nordvest,Aker Brygge,549
Enerhaugen,Toeyenbekken,546
Sommerfrydhagen,Helga Helgesens plass,544
Torggata,AHO,543
Birkelunden,Botanisk Hage soer,541
Sentrum Scene,Olaf Ryes plass,541
Toeyen skole,Schous plass,539
Universitetsgata,Aker Brygge,537
Birkelunden,Torggata,535
Aker Brygge,Bankplassen,533
Toeyen skole,Sofienbergparken nordvest,531
AHO,Helga Helgesens plass,531
Ensjoe T-bane,Vaalerenga,531
Bjoervika,Aker Brygge,530
Hallings gate,Alexander Kiellands Plass,530
Linaaes gate,Vulkan,529
The Hub,Jens Bjelkes Gate,528
Olaf Ryes plass,Jakob kirke,527
Domus Athletica,Sognsveien,526
Frogner Stadion,Frogner plass,526
Storo Storsenter,Bentsebrugata,525
Jens Bjelkes Gate,Jens Bjelkes Gate,524
Aker Brygge,Akerselvallmenningen,523
Vulkan,Vulkan,520
Sofienbergparken nord,Torggata,520
Marcus Thranes gate,Toeyen skole,520
Munkegata,Groenlands torg,520
Storo Storsenter,Ringnes Park,519
Majorstua skole,Frogner plass,519
Lakkegata,Bjoervika,516
Birkelunden,Helga Helgesens plass,515
Jens Bjelkes Gate,Torggata,512
Akerselvallmenningen,Akerselvallmenningen,511
Bjoervika,Oslo Hospital,511
Tjuvholmen,Skillebekk,511
Aker Brygge,Kirkeristen,510
Soendre gate,Kirkeristen,509
Schous plass,Botanisk Hage soer,509
Marcus Thranes gate,Olaf Ryes plass,506
Vippetangen vest,Sjoesiden ved fontenen,505
Sukkerbiten,Kirkeristen,504
Helga Helgesens plass,Torggata,499
Rostockgata,Bjoervika,497
Sofienbergparken nordvest,Sofienbergparken nordvest,497
Gimle Kino,Tjuvholmen,496
AHO,The Hub,496
Toeyen skole,Helga Helgesens plass,495
Olaf Ryes plass,Fred Olsens gate,495
Thomas Heftyes plass,Fram-gaarden,494
Sjoesiden ved trappen,Tjuvholmen,493
Gunerius,Helga Helgesens plass,491
Sjoesiden ved trappen,Rostockgata,491
Olaf Ryes plass,Bankplassen,491
Ringnes Park,Sofienbergparken soer,490
Toeyen skole,Toeyen skole,489
Olaf Ryes plass,Helga Helgesens plass,489
Sognsveien,Domus Athletica,487
Alexander Kiellands Plass,Vulkan,486
Kvaernerbyen,Munkegata,486
Dokkveien,Frognerstranda,485
Gimle Kino,Fram-gaarden,482
Ringnes Park,Toeyen skole,479
Aker Brygge,Rostockgata,477
Ringnes Park,Schous plass,476
Botanisk Hage soer,Botanisk Hage soer,476
Rostockgata,Aker Brygge,474
Fagerheimgata,Kirkeristen,473
Trelastgata,Kvaernerbyen,473
Bislettgata,7. juni-plassen,473
Lakkegata,Kirkeristen,472
Bislettgata,Alexander Kiellands Plass,472
Sukkerbiten,Jernbanetorget,471
Bislettgata,Henrik Ibsens gate,471
Majorstuen,Oscars gate,470
Bislett Stadion,Alexander Kiellands Plass,470
Vippetangen vest,Aker Brygge,470
Karenslyst allé,Tjuvholmen,470
Helga Helgesens plass,Oslo Hospital,469
Sofienbergparken nord,Olaf Ryes plass,467
St. Olavs gate,St. Olavs gate,465
Sentrum Scene,Helga Helgesens plass,464
Vaterlandsparken,Helga Helgesens plass,464
Aker Brygge,Vippetangen vest,463
The Hub,Helga Helgesens plass,462
Toeyen skole,Toeyenbekken,462
Uranienborgveien,Henrik Ibsens gate,462
Bogstadveien,Stensparken,462
Salt,Aker Brygge,462
Maritimt Museum,Norsk Folkemuseum,460
Frognerstranda,Dokkveien,459
Helga Helgesens plass,Sofienbergparken nordvest,459
Botanisk Hage soer,Olaf Ryes plass,458
Vulkan,Linaaes gate,456
Torggata,Schous plass,456
Jess Carlsens gate,Jess Carlsens gate,454
Marcus Thranes gate,Chr. Michelsens Gate,454
Norsk Folkemuseum,Huk 2,453
Alexander Kiellands Plass,Sentrum Scene,453
Majorstuen,Henrik Wergelands allé,452
Helga Helgesens plass,Aker Brygge,451
Bogstadveien,Majorstuen,451
Aker Brygge,Bjoervika,450
Botanisk Hage soer,Torggata,450
Ringnes Park,Aker Brygge,448
Linaaes gate,Jess Carlsens gate,448
Munkegata,Munkegata,448
Groenlands torg,Groenlands torg,447
Saga Kino,Saga Kino,446
Henrik Ibsens gate,Parkveien,446
Kirkeveien,Majorstuen,445
Galgeberg,Sjoesiden ved trappen,445
AHO,Sentrum Scene,443
Galgeberg,Kvaernerbyen,443
Ringnes Park,Ringnes Park,442
Tjuvholmen,Kirkeristen,441
Slottsparken oest,Slottsparken oest,441
Alexander Kiellands Plass,Toeyenbekken,439
Fredensborg,Alexander Kiellands Plass,439
Vaar Frelsers gravlund,Aker Brygge,438
Schous plass,The Hub,438
Olaf Ryes plass,Toeyenbekken,438
Bentsebrugata,Ringnes Park,437
Gimle Kino,Filipstadveien,437
Olaf Ryes plass,Linaaes gate,437
Helga Helgesens plass,Olaf Ryes plass,436
Lille Schous plass,Sofienbergparken nord,435
Jakob kirke,Botanisk Hage soer,435
Anker Hotel,Anker Hotel,434
Parkveien,Henrik Ibsens gate,433
Salt,Sjoesiden ved trappen,433
Kvaernerbyen,Rostockgata,432
Helga Helgesens plass,Brugata,432
Sofienbergparken nord,Aker Brygge,432
Groenlands torg,Helga Helgesens plass,431
Vippetangen vest,Saga Kino,431
Jens Bjelkes Gate,Sommerfrydhagen,431
Langkaia,Aker Brygge,431
Linaaes gate,Aker Brygge,431
Daelenenggata,Ringnes Park,430
Birkelunden,Birkelunden,429
Thomas Heftyes plass,Tjuvholmen,429
Helga Helgesens plass,Gunerius,428
Groenlands torg,Oslo Hospital,427
Birkelunden,The Hub,427
Vippetangen vest,Skippergata,424
Jens Bjelkes Gate,Bjoervika,423
Oslo Hospital,Oslo Hospital,422
Lindern,Marcus Thranes gate,421
Hammersborg Torg,Alexander Kiellands Plass,421
Filipstadveien,Filipstadveien,420
Sukkerbiten,Lille Grensen,419
Marcus Thranes gate,Marcus Thranes gate,419
Vaar Frelsers gravlund,Akersgata,418
Sofienbergparken nord,Kirkeristen,418
AHO,Kirkeristen,417
Hoff terrasse holdeplass,Skoeyen Stasjon,416
Rostockgata,Oslo Hospital,414
Olaf Ryes plass,Botanisk Hage soer,414
Munkegata,Aker Brygge,414
Toeyen skole,Olaf Ryes plass,413
